description,dis,sNumber,sTag,servArea,incType,numInc,numStand,perMet,90Avg,q,rank,rankQ4
Non-Emergency Incident,WESTERN D1,46,FS46,Altona,nonInc,6,28,84.8,7.85,3,59,57
Emergency Incident,WESTERN D1,46,FS46,Altona,emInc,33,28,84.8,7.85,3,59,57
Incident Total,WESTERN D1,46,FS46,Altona,totInc,39,28,84.8,7.85,3,59,57
Non-Emergency Incident,NORTHERN,11,FS11,Epping,nonInc,10,71,84.5,8.08,3,60,23
Emergency Incident,NORTHERN,11,FS11,Epping,emInc,84,71,84.5,8.08,3,60,23
Incident Total,NORTHERN,11,FS11,Epping,totInc,94,71,84.5,8.08,3,60,23
Non-Emergency Incident,SOUTH & EAST REGIONAL,79,FS79,Latrobe West,nonInc,2,38,84.4,8.1,3,61,53
Emergency Incident,SOUTH & EAST REGIONAL,79,FS79,Latrobe West,emInc,45,38,84.4,8.1,3,61,53
Incident Total,SOUTH & EAST REGIONAL,79,FS79,Latrobe West,totInc,47,38,84.4,8.1,3,61,53
Non-Emergency Incident,SOUTHERN D2,92,FS92,Cranbourne,nonInc,46,107,84.3,8.48,3,62,67
Emergency Incident,SOUTHERN D2,92,FS92,Cranbourne,emInc,127,107,84.3,8.48,3,62,67
Incident Total,SOUTHERN D2,92,FS92,Cranbourne,totInc,173,107,84.3,8.48,3,62,67
Non-Emergency Incident,SOUTHERN D2,90,FS90,Patterson River,nonInc,14,58,84.1,8.32,3,63,75
Emergency Incident,SOUTHERN D2,90,FS90,Patterson River,emInc,69,58,84.1,8.32,3,63,75
Incident Total,SOUTHERN D2,90,FS90,Patterson River,totInc,83,58,84.1,8.32,3,63,75
Non-Emergency Incident,WESTERN D3,62,FS62,Corio,nonInc,33,118,83.7,8.32,3,64,64
Emergency Incident,WESTERN D3,62,FS62,Corio,emInc,141,118,83.7,8.32,3,64,64
Incident Total,WESTERN D3,62,FS62,Corio,totInc,174,118,83.7,8.32,3,64,64
Non-Emergency Incident,SOUTHERN D1,24,FS24,Malvern,nonInc,30,121,83.4,8.92,3,65,30
Emergency Incident,SOUTHERN D1,24,FS24,Malvern,emInc,145,121,83.4,8.92,3,65,30
Incident Total,SOUTHERN D1,24,FS24,Malvern,totInc,175,121,83.4,8.92,3,65,30
Non-Emergency Incident,SOUTHERN D1,34,FS34,Highett,nonInc,30,130,83.3,8.57,3,66,68
Emergency Incident,SOUTHERN D1,34,FS34,Highett,emInc,156,130,83.3,8.57,3,66,68
Incident Total,SOUTHERN D1,34,FS34,Highett,totInc,186,130,83.3,8.57,3,66,68
Non-Emergency Incident,SOUTH & EAST REGIONAL,75,FS75,Shepparton,nonInc,10,109,83.2,8.47,3,67,41
Emergency Incident,SOUTH & EAST REGIONAL,75,FS75,Shepparton,emInc,131,109,83.2,8.47,3,67,41
Incident Total,SOUTH & EAST REGIONAL,75,FS75,Shepparton,totInc,141,109,83.2,8.47,3,67,41
Non-Emergency Incident,SOUTHERN D2,93,FS93,Pakenham,nonInc,22,64,83.1,8.65,3,68,58
Emergency Incident,SOUTHERN D2,93,FS93,Pakenham,emInc,77,64,83.1,8.65,3,68,58
Incident Total,SOUTHERN D2,93,FS93,Pakenham,totInc,99,64,83.1,8.65,3,68,58
Non-Emergency Incident,WESTERN D1,40,FS40,Laverton,nonInc,10,53,82.8,8.98,3,69,74
Emergency Incident,WESTERN D1,40,FS40,Laverton,emInc,64,53,82.8,8.98,3,69,74
Incident Total,WESTERN D1,40,FS40,Laverton,totInc,74,53,82.8,8.98,3,69,74
Non-Emergency Incident,SOUTHERN D2,88,FS88,Hallam,nonInc,35,95,82.6,8.5,3,70,55
Emergency Incident,SOUTHERN D2,88,FS88,Hallam,emInc,115,95,82.6,8.5,3,70,55
Incident Total,SOUTHERN D2,88,FS88,Hallam,totInc,150,95,82.6,8.5,3,70,55
Non-Emergency Incident,EASTERN,30,FS30,Templestowe,nonInc,9,56,82.4,9.12,3,71,40
Emergency Incident,EASTERN,30,FS30,Templestowe,emInc,68,56,82.4,9.12,3,71,40
Incident Total,EASTERN,30,FS30,Templestowe,totInc,77,56,82.4,9.12,3,71,40
Non-Emergency Incident,SOUTH & EAST REGIONAL,76,FS76,Wodonga,nonInc,10,55,82.1,8.47,3,72,66
Emergency Incident,SOUTH & EAST REGIONAL,76,FS76,Wodonga,emInc,67,55,82.1,8.47,3,72,66
Incident Total,SOUTH & EAST REGIONAL,76,FS76,Wodonga,totInc,77,55,82.1,8.47,3,72,66
Non-Emergency Incident,EASTERN,82,FS82,Eltham City,nonInc,10,49,81.7,8.83,3,73,39
Emergency Incident,EASTERN,82,FS82,Eltham City,emInc,60,49,81.7,8.83,3,73,39
Incident Total,EASTERN,82,FS82,Eltham City,totInc,70,49,81.7,8.83,3,73,39
Non-Emergency Incident,WESTERN D2,52,FS52,Tullamarine,nonInc,18,69,81.2,8.48,3,74,80
Emergency Incident,WESTERN D2,52,FS52,Tullamarine,emInc,85,69,81.2,8.48,3,74,80
Incident Total,WESTERN D2,52,FS52,Tullamarine,totInc,103,69,81.2,8.48,3,74,80
Non-Emergency Incident,WESTERN D2,51,FS51,Keilor,nonInc,25,63,80.8,8.6,3,75,36
Emergency Incident,WESTERN D2,51,FS51,Keilor,emInc,78,63,80.8,8.6,3,75,36
Incident Total,WESTERN D2,51,FS51,Keilor,totInc,103,63,80.8,8.6,3,75,36
Non-Emergency Incident,SOUTHERN D1,89,FS89,Springvale,nonInc,27,77,80.2,8.4,3,76,63
Emergency Incident,SOUTHERN D1,89,FS89,Springvale,emInc,96,77,80.2,8.4,3,76,63
Incident Total,SOUTHERN D1,89,FS89,Springvale,totInc,123,77,80.2,8.4,3,76,63
Non-Emergency Incident,WESTERN D1,58,FS58,Point Cook,nonInc,20,76,79.2,9.37,3,77,79
Emergency Incident,WESTERN D1,58,FS58,Point Cook,emInc,96,76,79.2,9.37,3,77,79
Incident Total,WESTERN D1,58,FS58,Point Cook,totInc,116,76,79.2,9.37,3,77,79
Non-Emergency Incident,WESTERN D1,57,FS57,Tarneit,nonInc,42,120,77.9,9.05,3,78,82
Emergency Incident,WESTERN D1,57,FS57,Tarneit,emInc,154,120,77.9,9.05,3,78,82
Incident Total,WESTERN D1,57,FS57,Tarneit,totInc,196,120,77.9,9.05,3,78,82
Non-Emergency Incident,WESTERN D1,45,FS45,Spotswood,nonInc,27,74,76.3,8.9,3,79,71
Emergency Incident,WESTERN D1,45,FS45,Spotswood,emInc,97,74,76.3,8.9,3,79,71
Incident Total,WESTERN D1,45,FS45,Spotswood,totInc,124,74,76.3,8.9,3,79,71
Non-Emergency Incident,WESTERN D1,59,FS59,Derrimut,nonInc,10,56,75.7,8.73,3,80,85
Emergency Incident,WESTERN D1,59,FS59,Derrimut,emInc,74,56,75.7,8.73,3,80,85
Incident Total,WESTERN D1,59,FS59,Derrimut,totInc,84,56,75.7,8.73,3,80,85
Non-Emergency Incident,WESTERN D2,56,FS56,Melton,nonInc,32,117,71.3,10.13,3,81,78
Emergency Incident,WESTERN D2,56,FS56,Melton,emInc,164,117,71.3,10.13,3,81,78
Incident Total,WESTERN D2,56,FS56,Melton,totInc,196,117,71.3,10.13,3,81,78
Non-Emergency Incident,WESTERN D2,55,FS55,Caroline Springs,nonInc,21,99,67.8,9.57,3,82,84
Emergency Incident,WESTERN D2,55,FS55,Caroline Springs,emInc,146,99,67.8,9.57,3,82,84
Incident Total,WESTERN D2,55,FS55,Caroline Springs,totInc,167,99,67.8,9.57,3,82,84
Non-Emergency Incident,EASTERN,84,FS84,South Warrandyte,nonInc,1,12,60,9.57,3,83,70
Emergency Incident,EASTERN,84,FS84,South Warrandyte,emInc,20,12,60,9.57,3,83,70
Incident Total,EASTERN,84,FS84,South Warrandyte,totInc,21,12,60,9.57,3,83,70
Non-Emergency Incident,WESTERN D2,54,FS54,Greenvale,nonInc,9,23,59,12.83,3,84,81
Emergency Incident,WESTERN D2,54,FS54,Greenvale,emInc,39,23,59,12.83,3,84,81
Incident Total,WESTERN D2,54,FS54,Greenvale,totInc,48,23,59,12.83,3,84,81
Non-Emergency Incident,WESTERN D3,61,FS61,Lara,nonInc,0,18,39.1,10.73,3,85,83
Emergency Incident,WESTERN D3,61,FS61,Lara,emInc,46,18,39.1,10.73,3,85,83
Incident Total,WESTERN D3,61,FS61,Lara,totInc,46,18,39.1,10.73,3,85,83
Non-Emergency Incident,WESTERN D3,66,FS66,Ocean Grove,nonInc,6,26,100,5.85,4,1,1
Emergency Incident,WESTERN D3,66,FS66,Ocean Grove,emInc,26,26,100,5.85,4,1,1
Incident Total,WESTERN D3,66,FS66,Ocean Grove,totInc,32,26,100,5.85,4,1,1
Non-Emergency Incident,CENTRAL,1,FS1,Eastern Hill,nonInc,24,356,97.5,5.62,4,2,2
Emergency Incident,CENTRAL,1,FS1,Eastern Hill,emInc,365,356,97.5,5.62,4,2,2
Incident Total,CENTRAL,1,FS1,Eastern Hill,totInc,389,356,97.5,5.62,4,2,2
Non-Emergency Incident,CENTRAL,3,FS3,Carlton,nonInc,28,338,97.1,6.52,4,3,3
Emergency Incident,CENTRAL,3,FS3,Carlton,emInc,348,338,97.1,6.52,4,3,3
Incident Total,CENTRAL,3,FS3,Carlton,totInc,376,338,97.1,6.52,4,3,3
Non-Emergency Incident,NORTH & WEST REGIONAL,67,FS67,Ballarat City,nonInc,12,85,96.6,6.52,4,4,4
Emergency Incident,NORTH & WEST REGIONAL,67,FS67,Ballarat City,emInc,88,85,96.6,6.52,4,4,4
Incident Total,NORTH & WEST REGIONAL,67,FS67,Ballarat City,totInc,100,85,96.6,6.52,4,4,4
Non-Emergency Incident,EASTERN,23,FS23,Burwood,nonInc,39,121,95.3,7.3,4,5,5
Emergency Incident,EASTERN,23,FS23,Burwood,emInc,127,121,95.3,7.3,4,5,5
Incident Total,EASTERN,23,FS23,Burwood,totInc,166,121,95.3,7.3,4,5,5
Non-Emergency Incident,SOUTHERN D2,95,FS95,Rosebud,nonInc,13,59,95.2,7.08,4,6,6
Emergency Incident,SOUTHERN D2,95,FS95,Rosebud,emInc,62,59,95.2,7.08,4,6,6
Incident Total,SOUTHERN D2,95,FS95,Rosebud,totInc,75,59,95.2,7.08,4,6,6
Non-Emergency Incident,CENTRAL,2,FS2,West Melbourne,nonInc,30,310,95.1,6.65,4,7,7
Emergency Incident,CENTRAL,2,FS2,West Melbourne,emInc,326,310,95.1,6.65,4,7,7
Incident Total,CENTRAL,2,FS2,West Melbourne,totInc,356,310,95.1,6.65,4,7,7
Non-Emergency Incident,SOUTHERN D1,29,FS29,Clayton,nonInc,25,102,94.4,7.43,4,8,8
Emergency Incident,SOUTHERN D1,29,FS29,Clayton,emInc,108,102,94.4,7.43,4,8,8
Incident Total,SOUTHERN D1,29,FS29,Clayton,totInc,133,102,94.4,7.43,4,8,8
Non-Emergency Incident,WESTERN D3,63,FS63,Geelong City,nonInc,29,148,93.7,7.15,4,9,9
Emergency Incident,WESTERN D3,63,FS63,Geelong City,emInc,158,148,93.7,7.15,4,9,9
Incident Total,WESTERN D3,63,FS63,Geelong City,totInc,187,148,93.7,7.15,4,9,9
Non-Emergency Incident,EASTERN,20,FS20,Box Hill,nonInc,32,134,93.1,7.43,4,10,10
Emergency Incident,EASTERN,20,FS20,Box Hill,emInc,144,134,93.1,7.43,4,10,10
Incident Total,EASTERN,20,FS20,Box Hill,totInc,176,134,93.1,7.43,4,10,10
Non-Emergency Incident,EASTERN,26,FS26,Croydon,nonInc,32,95,93.1,6.9,4,11,11
Emergency Incident,EASTERN,26,FS26,Croydon,emInc,102,95,93.1,6.9,4,11,11
Incident Total,EASTERN,26,FS26,Croydon,totInc,134,95,93.1,6.9,4,11,11
Non-Emergency Incident,NORTHERN,12,FS12,Preston,nonInc,38,170,92.9,7.67,4,12,12
Emergency Incident,NORTHERN,12,FS12,Preston,emInc,183,170,92.9,7.67,4,12,12
Incident Total,NORTHERN,12,FS12,Preston,totInc,221,170,92.9,7.67,4,12,12
Non-Emergency Incident,WESTERN D2,41,FS41,St Albans,nonInc,42,105,92.9,7.85,4,13,13
Emergency Incident,WESTERN D2,41,FS41,St Albans,emInc,113,105,92.9,7.85,4,13,13
Incident Total,WESTERN D2,41,FS41,St Albans,totInc,155,105,92.9,7.85,4,13,13
Non-Emergency Incident,CENTRAL,38,FS38,South Melbourne,nonInc,35,363,92.8,6.87,4,14,14
Emergency Incident,CENTRAL,38,FS38,South Melbourne,emInc,391,363,92.8,6.87,4,14,14
Incident Total,CENTRAL,38,FS38,South Melbourne,totInc,426,363,92.8,6.87,4,14,14
Non-Emergency Incident,SOUTH & EAST REGIONAL,78,FS78,Morwell,nonInc,5,59,92.2,7.32,4,15,15
Emergency Incident,SOUTH & EAST REGIONAL,78,FS78,Morwell,emInc,64,59,92.2,7.32,4,15,15
Incident Total,SOUTH & EAST REGIONAL,78,FS78,Morwell,totInc,69,59,92.2,7.32,4,15,15
Non-Emergency Incident,CENTRAL,10,FS10,Richmond,nonInc,31,258,92.1,7.27,4,16,16
Emergency Incident,CENTRAL,10,FS10,Richmond,emInc,280,258,92.1,7.27,4,16,16
Incident Total,CENTRAL,10,FS10,Richmond,totInc,311,258,92.1,7.27,4,16,16
Non-Emergency Incident,CENTRAL,4,FS4,Brunswick,nonInc,26,213,91.8,7.57,4,17,17
Emergency Incident,CENTRAL,4,FS4,Brunswick,emInc,232,213,91.8,7.57,4,17,17
Incident Total,CENTRAL,4,FS4,Brunswick,totInc,258,213,91.8,7.57,4,17,17
Non-Emergency Incident,EASTERN,27,FS27,Nunawading,nonInc,36,110,91.7,7.3,4,18,18
Emergency Incident,EASTERN,27,FS27,Nunawading,emInc,120,110,91.7,7.3,4,18,18
Incident Total,EASTERN,27,FS27,Nunawading,totInc,156,110,91.7,7.3,4,18,18
Non-Emergency Incident,EASTERN,28,FS28,Vermont South,nonInc,43,133,91.7,7.5,4,19,19
Emergency Incident,EASTERN,28,FS28,Vermont South,emInc,145,133,91.7,7.5,4,19,19
Incident Total,EASTERN,28,FS28,Vermont South,totInc,188,133,91.7,7.5,4,19,19
Non-Emergency Incident,NORTHERN,9,FS9,Somerton,nonInc,14,65,91.5,7.65,4,20,20
Emergency Incident,NORTHERN,9,FS9,Somerton,emInc,71,65,91.5,7.65,4,20,20
Incident Total,NORTHERN,9,FS9,Somerton,totInc,85,65,91.5,7.65,4,20,20
Non-Emergency Incident,SOUTHERN D1,86,FS86,Rowville,nonInc,15,53,91.4,7.02,4,21,21
Emergency Incident,SOUTHERN D1,86,FS86,Rowville,emInc,58,53,91.4,7.02,4,21,21
Incident Total,SOUTHERN D1,86,FS86,Rowville,totInc,73,53,91.4,7.02,4,21,21
Non-Emergency Incident,EASTERN,22,FS22,Ringwood,nonInc,48,124,91.2,7.57,4,22,22
Emergency Incident,EASTERN,22,FS22,Ringwood,emInc,136,124,91.2,7.57,4,22,22
Incident Total,EASTERN,22,FS22,Ringwood,totInc,184,124,91.2,7.57,4,22,22
Non-Emergency Incident,NORTHERN,11,FS11,Epping,nonInc,23,101,91,8,4,23,23
Emergency Incident,NORTHERN,11,FS11,Epping,emInc,111,101,91,8,4,23,23
Incident Total,NORTHERN,11,FS11,Epping,totInc,134,101,91,8,4,23,23
Non-Emergency Incident,WESTERN D2,44,FS44,Sunshine,nonInc,40,153,90.5,7.75,4,24,24
Emergency Incident,WESTERN D2,44,FS44,Sunshine,emInc,169,153,90.5,7.75,4,24,24
Incident Total,WESTERN D2,44,FS44,Sunshine,totInc,209,153,90.5,7.75,4,24,24
Non-Emergency Incident,SOUTHERN D2,94,FS94,Mornington,nonInc,16,67,90.5,7.53,4,25,25
Emergency Incident,SOUTHERN D2,94,FS94,Mornington,emInc,74,67,90.5,7.53,4,25,25
Incident Total,SOUTHERN D2,94,FS94,Mornington,totInc,90,67,90.5,7.53,4,25,25
Non-Emergency Incident,SOUTHERN D2,91,FS91,Frankston,nonInc,45,217,90.4,8.22,4,26,26
Emergency Incident,SOUTHERN D2,91,FS91,Frankston,emInc,240,217,90.4,8.22,4,26,26
Incident Total,SOUTHERN D2,91,FS91,Frankston,totInc,285,217,90.4,8.22,4,26,26
Non-Emergency Incident,WESTERN D3,64,FS64,Belmont,nonInc,21,84,90.3,7.6,4,27,27
Emergency Incident,WESTERN D3,64,FS64,Belmont,emInc,93,84,90.3,7.6,4,27,27
Incident Total,WESTERN D3,64,FS64,Belmont,totInc,114,84,90.3,7.6,4,27,27
Non-Emergency Incident,EASTERN,85,FS85,Boronia,nonInc,15,74,90.2,7.18,4,28,28
Emergency Incident,EASTERN,85,FS85,Boronia,emInc,82,74,90.2,7.18,4,28,28
Incident Total,EASTERN,85,FS85,Boronia,totInc,97,74,90.2,7.18,4,28,28
Non-Emergency Incident,SOUTHERN D1,25,FS25,Oakleigh,nonInc,32,145,90.1,7.75,4,29,29
Emergency Incident,SOUTHERN D1,25,FS25,Oakleigh,emInc,161,145,90.1,7.75,4,29,29
Incident Total,SOUTHERN D1,25,FS25,Oakleigh,totInc,193,145,90.1,7.75,4,29,29
Non-Emergency Incident,SOUTHERN D1,24,FS24,Malvern,nonInc,31,141,89.2,8.13,4,30,30
Emergency Incident,SOUTHERN D1,24,FS24,Malvern,emInc,158,141,89.2,8.13,4,30,30
Incident Total,SOUTHERN D1,24,FS24,Malvern,totInc,189,141,89.2,8.13,4,30,30
Non-Emergency Incident,NORTHERN,16,FS16,Greensborough,nonInc,29,73,89,7.62,4,31,31
Emergency Incident,NORTHERN,16,FS16,Greensborough,emInc,82,73,89,7.62,4,31,31
Incident Total,NORTHERN,16,FS16,Greensborough,totInc,111,73,89,7.62,4,31,31
Non-Emergency Incident,CENTRAL,39,FS39,Port Melbourne,nonInc,18,125,88.7,7.78,4,32,32
Emergency Incident,CENTRAL,39,FS39,Port Melbourne,emInc,141,125,88.7,7.78,4,32,32
Incident Total,CENTRAL,39,FS39,Port Melbourne,totInc,159,125,88.7,7.78,4,32,32
Non-Emergency Incident,NORTH & WEST REGIONAL,72,FS72,Mildura,nonInc,20,94,88.7,7.9,4,33,33
Emergency Incident,NORTH & WEST REGIONAL,72,FS72,Mildura,emInc,106,94,88.7,7.9,4,33,33
Incident Total,NORTH & WEST REGIONAL,72,FS72,Mildura,totInc,126,94,88.7,7.9,4,33,33
Non-Emergency Incident,CENTRAL,35,FS35,Windsor,nonInc,54,417,88.3,7.95,4,34,34
Emergency Incident,CENTRAL,35,FS35,Windsor,emInc,472,417,88.3,7.95,4,34,34
Incident Total,CENTRAL,35,FS35,Windsor,totInc,526,417,88.3,7.95,4,34,34
Non-Emergency Incident,WESTERN D1,47,FS47,Footscray,nonInc,38,196,88.3,8.2,4,35,35
Emergency Incident,WESTERN D1,47,FS47,Footscray,emInc,222,196,88.3,8.2,4,35,35
Incident Total,WESTERN D1,47,FS47,Footscray,totInc,260,196,88.3,8.2,4,35,35
Non-Emergency Incident,WESTERN D2,51,FS51,Keilor,nonInc,40,90,88.2,7.95,4,36,36
Emergency Incident,WESTERN D2,51,FS51,Keilor,emInc,102,90,88.2,7.95,4,36,36
Incident Total,WESTERN D2,51,FS51,Keilor,totInc,142,90,88.2,7.95,4,36,36
Non-Emergency Incident,SOUTHERN D1,33,FS33,Mentone,nonInc,40,111,88.1,7.9,4,37,37
Emergency Incident,SOUTHERN D1,33,FS33,Mentone,emInc,126,111,88.1,7.9,4,37,37
Incident Total,SOUTHERN D1,33,FS33,Mentone,totInc,166,111,88.1,7.9,4,37,37
Non-Emergency Incident,SOUTH & EAST REGIONAL,74,FS74,Wangaratta,nonInc,6,52,88.1,7.97,4,38,38
Emergency Incident,SOUTH & EAST REGIONAL,74,FS74,Wangaratta,emInc,59,52,88.1,7.97,4,38,38
Incident Total,SOUTH & EAST REGIONAL,74,FS74,Wangaratta,totInc,65,52,88.1,7.97,4,38,38
Non-Emergency Incident,EASTERN,82,FS82,Eltham City,nonInc,28,59,88.1,8.2,4,39,39
Emergency Incident,EASTERN,82,FS82,Eltham City,emInc,67,59,88.1,8.2,4,39,39
Incident Total,EASTERN,82,FS82,Eltham City,totInc,95,59,88.1,8.2,4,39,39
Non-Emergency Incident,EASTERN,30,FS30,Templestowe,nonInc,19,64,87.7,7.73,4,40,40
Emergency Incident,EASTERN,30,FS30,Templestowe,emInc,73,64,87.7,7.73,4,40,40
Incident Total,EASTERN,30,FS30,Templestowe,totInc,92,64,87.7,7.73,4,40,40
Non-Emergency Incident,SOUTH & EAST REGIONAL,75,FS75,Shepparton,nonInc,8,135,87.7,8.22,4,41,41
Emergency Incident,SOUTH & EAST REGIONAL,75,FS75,Shepparton,emInc,154,135,87.7,8.22,4,41,41
Incident Total,SOUTH & EAST REGIONAL,75,FS75,Shepparton,totInc,162,135,87.7,8.22,4,41,41
Non-Emergency Incident,NORTHERN,15,FS15,Heidelberg,nonInc,46,196,87.5,8.25,4,42,42
Emergency Incident,NORTHERN,15,FS15,Heidelberg,emInc,224,196,87.5,8.25,4,42,42
Incident Total,NORTHERN,15,FS15,Heidelberg,totInc,270,196,87.5,8.25,4,42,42
Non-Emergency Incident,WESTERN D1,42,FS42,Newport,nonInc,16,97,87.4,7.97,4,43,43
Emergency Incident,WESTERN D1,42,FS42,Newport,emInc,111,97,87.4,7.97,4,43,43
Incident Total,WESTERN D1,42,FS42,Newport,totInc,127,97,87.4,7.97,4,43,43
Non-Emergency Incident,NORTHERN,81,FS81,South Morang,nonInc,5,55,87.3,7.82,4,44,44
Emergency Incident,NORTHERN,81,FS81,South Morang,emInc,63,55,87.3,7.82,4,44,44
Incident Total,NORTHERN,81,FS81,South Morang,totInc,68,55,87.3,7.82,4,44,44
Non-Emergency Incident,NORTHERN,7,FS7,Thomastown,nonInc,45,100,87,8.07,4,45,45
Emergency Incident,NORTHERN,7,FS7,Thomastown,emInc,115,100,87,8.07,4,45,45
Incident Total,NORTHERN,7,FS7,Thomastown,totInc,160,100,87,8.07,4,45,45
Non-Emergency Incident,NORTHERN,14,FS14,Bundoora,nonInc,30,125,86.8,7.82,4,46,46
Emergency Incident,NORTHERN,14,FS14,Bundoora,emInc,144,125,86.8,7.82,4,46,46
Incident Total,NORTHERN,14,FS14,Bundoora,totInc,174,125,86.8,7.82,4,46,46
Non-Emergency Incident,CENTRAL,18,FS18,Hawthorn,nonInc,45,165,86.4,8.13,4,47,47
Emergency Incident,CENTRAL,18,FS18,Hawthorn,emInc,191,165,86.4,8.13,4,47,47
Incident Total,CENTRAL,18,FS18,Hawthorn,totInc,236,165,86.4,8.13,4,47,47
Non-Emergency Incident,CENTRAL,50,FS50,Ascot Vale,nonInc,26,196,85.6,8.4,4,48,48
Emergency Incident,CENTRAL,50,FS50,Ascot Vale,emInc,229,196,85.6,8.4,4,48,48
Incident Total,CENTRAL,50,FS50,Ascot Vale,totInc,255,196,85.6,8.4,4,48,48
Non-Emergency Incident,WESTERN D2,48,FS48,Taylors Lakes,nonInc,13,52,85.2,8.47,4,49,49
Emergency Incident,WESTERN D2,48,FS48,Taylors Lakes,emInc,61,52,85.2,8.47,4,49,49
Incident Total,WESTERN D2,48,FS48,Taylors Lakes,totInc,74,52,85.2,8.47,4,49,49
Non-Emergency Incident,NORTH & WEST REGIONAL,68,FS68,Lucas,nonInc,7,46,85.2,8.15,4,50,50
Emergency Incident,NORTH & WEST REGIONAL,68,FS68,Lucas,emInc,54,46,85.2,8.15,4,50,50
Incident Total,NORTH & WEST REGIONAL,68,FS68,Lucas,totInc,61,46,85.2,8.15,4,50,50
Non-Emergency Incident,NORTH & WEST REGIONAL,71,FS71,Portland,nonInc,4,23,85.2,8.05,4,51,51
Emergency Incident,NORTH & WEST REGIONAL,71,FS71,Portland,emInc,27,23,85.2,8.05,4,51,51
Incident Total,NORTH & WEST REGIONAL,71,FS71,Portland,totInc,31,23,85.2,8.05,4,51,51
Non-Emergency Incident,SOUTH & EAST REGIONAL,77,FS77,Traralgon,nonInc,11,62,84.9,8.4,4,52,52
Emergency Incident,SOUTH & EAST REGIONAL,77,FS77,Traralgon,emInc,73,62,84.9,8.4,4,52,52
Incident Total,SOUTH & EAST REGIONAL,77,FS77,Traralgon,totInc,84,62,84.9,8.4,4,52,52
Non-Emergency Incident,SOUTH & EAST REGIONAL,79,FS79,Latrobe West,nonInc,9,45,84.9,8.17,4,53,53
Emergency Incident,SOUTH & EAST REGIONAL,79,FS79,Latrobe West,emInc,53,45,84.9,8.17,4,53,53
Incident Total,SOUTH & EAST REGIONAL,79,FS79,Latrobe West,totInc,62,45,84.9,8.17,4,53,53
Non-Emergency Incident,SOUTHERN D1,31,FS31,Glen Waverley,nonInc,37,207,84.8,8.38,4,54,54
Emergency Incident,SOUTHERN D1,31,FS31,Glen Waverley,emInc,244,207,84.8,8.38,4,54,54
Incident Total,SOUTHERN D1,31,FS31,Glen Waverley,totInc,281,207,84.8,8.38,4,54,54
Non-Emergency Incident,SOUTHERN D2,88,FS88,Hallam,nonInc,45,120,82.8,8.87,4,55,55
Emergency Incident,SOUTHERN D2,88,FS88,Hallam,emInc,145,120,82.8,8.87,4,55,55
Incident Total,SOUTHERN D2,88,FS88,Hallam,totInc,190,120,82.8,8.87,4,55,55
Non-Emergency Incident,SOUTHERN D2,87,FS87,Dandenong,nonInc,55,200,82.6,8.83,4,56,56
Emergency Incident,SOUTHERN D2,87,FS87,Dandenong,emInc,242,200,82.6,8.83,4,56,56
Incident Total,SOUTHERN D2,87,FS87,Dandenong,totInc,297,200,82.6,8.83,4,56,56
Non-Emergency Incident,WESTERN D1,46,FS46,Altona,nonInc,12,28,82.4,7.83,4,57,57
Emergency Incident,WESTERN D1,46,FS46,Altona,emInc,34,28,82.4,7.83,4,57,57
Incident Total,WESTERN D1,46,FS46,Altona,totInc,46,28,82.4,7.83,4,57,57
Non-Emergency Incident,SOUTHERN D2,93,FS93,Pakenham,nonInc,17,70,82.4,9.75,4,58,58
Emergency Incident,SOUTHERN D2,93,FS93,Pakenham,emInc,85,70,82.4,9.75,4,58,58
Incident Total,SOUTHERN D2,93,FS93,Pakenham,totInc,102,70,82.4,9.75,4,58,58
Non-Emergency Incident,CENTRAL,13,FS13,Northcote,nonInc,41,116,82.3,8.58,4,59,59
Emergency Incident,CENTRAL,13,FS13,Northcote,emInc,141,116,82.3,8.58,4,59,59
Incident Total,CENTRAL,13,FS13,Northcote,totInc,182,116,82.3,8.58,4,59,59
Non-Emergency Incident,NORTH & WEST REGIONAL,70,FS70,Warrnambool,nonInc,14,74,82.2,8.7,4,60,60
Emergency Incident,NORTH & WEST REGIONAL,70,FS70,Warrnambool,emInc,90,74,82.2,8.7,4,60,60
Incident Total,NORTH & WEST REGIONAL,70,FS70,Warrnambool,totInc,104,74,82.2,8.7,4,60,60
Non-Emergency Incident,EASTERN,19,FS19,North Balwyn,nonInc,25,100,82,9.2,4,61,61
Emergency Incident,EASTERN,19,FS19,North Balwyn,emInc,122,100,82,9.2,4,61,61
Incident Total,EASTERN,19,FS19,North Balwyn,totInc,147,100,82,9.2,4,61,61
Non-Emergency Incident,SOUTHERN D1,32,FS32,Ormond,nonInc,44,169,82,8.6,4,62,62
Emergency Incident,SOUTHERN D1,32,FS32,Ormond,emInc,206,169,82,8.6,4,62,62
Incident Total,SOUTHERN D1,32,FS32,Ormond,totInc,250,169,82,8.6,4,62,62
Non-Emergency Incident,SOUTHERN D1,89,FS89,Springvale,nonInc,45,128,81.5,8.62,4,63,63
Emergency Incident,SOUTHERN D1,89,FS89,Springvale,emInc,157,128,81.5,8.62,4,63,63
Incident Total,SOUTHERN D1,89,FS89,Springvale,totInc,202,128,81.5,8.62,4,63,63
Non-Emergency Incident,WESTERN D3,62,FS62,Corio,nonInc,42,134,81.2,8.13,4,64,64
Emergency Incident,WESTERN D3,62,FS62,Corio,emInc,165,134,81.2,8.13,4,64,64
