dis,sNumber,sTag,servArea,incType,numInc,numStand,perMet,90Avg,q,rank,rankQ4
SOUTH & EAST REGIONAL,77,FS77,Traralgon,emInc,89,82,92.1,7.1,1,26,52
NORTHERN,15,FS15,Heidelberg,nonInc,25,200,91.7,7.5,1,27,42
NORTHERN,15,FS15,Heidelberg,emInc,218,200,91.7,7.5,1,27,42
WESTERN D3,64,FS64,Belmont,nonInc,6,100,91.7,7.5,1,28,27
WESTERN D3,64,FS64,Belmont,emInc,109,100,91.7,7.5,1,28,27
SOUTH & EAST REGIONAL,74,FS74,Wangaratta,nonInc,1,65,91.5,6.7,1,29,38
SOUTH & EAST REGIONAL,74,FS74,Wangaratta,emInc,71,65,91.5,6.7,1,29,38
WESTERN D3,63,FS63,Geelong City,nonInc,9,203,91.4,7.7,1,30,9
WESTERN D3,63,FS63,Geelong City,emInc,222,203,91.4,7.7,1,30,9
CENTRAL,35,FS35,Windsor,nonInc,36,546,91.3,7.6,1,31,34
CENTRAL,35,FS35,Windsor,emInc,598,546,91.3,7.6,1,31,34
NORTH & WEST REGIONAL,68,FS68,Lucas,nonInc,5,40,90.9,7.6,1,32,50
NORTH & WEST REGIONAL,68,FS68,Lucas,emInc,44,40,90.9,7.6,1,32,50
SOUTHERN D1,33,FS33,Mentone,nonInc,19,129,90.2,8,1,33,37
SOUTHERN D1,33,FS33,Mentone,emInc,143,129,90.2,8,1,33,37
EASTERN,19,FS19,North Balwyn,nonInc,20,109,90.1,7.7,1,34,61
EASTERN,19,FS19,North Balwyn,emInc,121,109,90.1,7.7,1,34,61
SOUTHERN D1,32,FS32,Ormond,nonInc,14,185,89.8,7.8,1,35,62
SOUTHERN D1,32,FS32,Ormond,emInc,206,185,89.8,7.8,1,35,62
NORTH & WEST REGIONAL,71,FS71,Portland,nonInc,3,26,89.7,7.6,1,36,51
NORTH & WEST REGIONAL,71,FS71,Portland,emInc,29,26,89.7,7.6,1,36,51
EASTERN,84,FS84,South Warrandyte,nonInc,4,17,89.5,8.9,1,37,70
EASTERN,84,FS84,South Warrandyte,emInc,19,17,89.5,8.9,1,37,70
CENTRAL,18,FS18,Hawthorn,nonInc,23,218,89.3,7.9,1,38,47
CENTRAL,18,FS18,Hawthorn,emInc,244,218,89.3,7.9,1,38,47
SOUTHERN D2,91,FS91,Frankston,nonInc,8,251,89.3,7.9,1,39,26
SOUTHERN D2,91,FS91,Frankston,emInc,281,251,89.3,7.9,1,39,26
CENTRAL,50,FS50,Ascot Vale,nonInc,8,190,89.2,7.9,1,40,48
CENTRAL,50,FS50,Ascot Vale,emInc,213,190,89.2,7.9,1,40,48
SOUTH & EAST REGIONAL,79,FS79,Latrobe West,nonInc,4,49,89.1,8.1,1,41,53
SOUTH & EAST REGIONAL,79,FS79,Latrobe West,emInc,55,49,89.1,8.1,1,41,53
CENTRAL,39,FS39,Port Melbourne,nonInc,5,154,89,8.3,1,42,32
CENTRAL,39,FS39,Port Melbourne,emInc,173,154,89,8.3,1,42,32
NORTHERN,16,FS16,Greensborough,nonInc,11,71,88.8,8.9,1,43,31
NORTHERN,16,FS16,Greensborough,emInc,80,71,88.8,8.9,1,43,31
EASTERN,27,FS27,Nunawading,nonInc,11,119,88.8,8.3,1,44,18
EASTERN,27,FS27,Nunawading,emInc,134,119,88.8,8.3,1,44,18
NORTHERN,5,FS5,Broadmeadows,nonInc,21,212,88.7,8.2,1,45,69
NORTHERN,5,FS5,Broadmeadows,emInc,239,212,88.7,8.2,1,45,69
CENTRAL,13,FS13,Northcote,nonInc,23,165,88.7,7.9,1,46,59
CENTRAL,13,FS13,Northcote,emInc,186,165,88.7,7.9,1,46,59
EASTERN,82,FS82,Eltham City,nonInc,16,53,88.3,8,1,47,39
EASTERN,82,FS82,Eltham City,emInc,60,53,88.3,8,1,47,39
NORTH & WEST REGIONAL,72,FS72,Mildura,nonInc,12,113,87.6,8.3,1,48,33
NORTH & WEST REGIONAL,72,FS72,Mildura,emInc,129,113,87.6,8.3,1,48,33
WESTERN D2,43,FS43,Deer Park,nonInc,14,117,87.3,8.4,1,49,73
WESTERN D2,43,FS43,Deer Park,emInc,134,117,87.3,8.4,1,49,73
NORTHERN,11,FS11,Epping,nonInc,13,115,87.1,8.3,1,50,23
NORTHERN,11,FS11,Epping,emInc,132,115,87.1,8.3,1,50,23
SOUTHERN D2,95,FS95,Rosebud,nonInc,8,54,87.1,7.7,1,51,6
SOUTHERN D2,95,FS95,Rosebud,emInc,62,54,87.1,7.7,1,51,6
NORTH & WEST REGIONAL,70,FS70,Warrnambool,nonInc,10,100,87,7.9,1,52,60
NORTH & WEST REGIONAL,70,FS70,Warrnambool,emInc,115,100,87,7.9,1,52,60
EASTERN,30,FS30,Templestowe,nonInc,9,72,86.7,8,1,53,40
EASTERN,30,FS30,Templestowe,emInc,83,72,86.7,8,1,53,40
SOUTHERN D1,29,FS29,Clayton,nonInc,13,95,86.4,8,1,54,8
SOUTHERN D1,29,FS29,Clayton,emInc,110,95,86.4,8,1,54,8
SOUTHERN D1,31,FS31,Glen Waverley,nonInc,12,248,86.4,8.1,1,55,54
SOUTHERN D1,31,FS31,Glen Waverley,emInc,287,248,86.4,8.1,1,55,54
SOUTHERN D1,24,FS24,Malvern,nonInc,8,144,86.2,8.2,1,56,30
SOUTHERN D1,24,FS24,Malvern,emInc,167,144,86.2,8.2,1,56,30
WESTERN D2,41,FS41,St Albans,nonInc,8,81,86.2,8.4,1,57,13
WESTERN D2,41,FS41,St Albans,emInc,94,81,86.2,8.4,1,57,13
SOUTH & EAST REGIONAL,75,FS75,Shepparton,nonInc,5,148,85.5,8.7,1,58,41
SOUTH & EAST REGIONAL,75,FS75,Shepparton,emInc,173,148,85.5,8.7,1,58,41
WESTERN D3,62,FS62,Corio,nonInc,11,186,85.3,8.3,1,59,64
WESTERN D3,62,FS62,Corio,emInc,218,186,85.3,8.3,1,59,64
NORTHERN,9,FS9,Somerton,nonInc,6,69,84.1,8.2,1,60,20
NORTHERN,9,FS9,Somerton,emInc,82,69,84.1,8.2,1,60,20
SOUTHERN D1,34,FS34,Highett,nonInc,23,216,84,8.2,1,61,68
SOUTHERN D1,34,FS34,Highett,emInc,257,216,84,8.2,1,61,68
SOUTH & EAST REGIONAL,76,FS76,Wodonga,nonInc,9,70,83.3,8.7,1,62,66
SOUTH & EAST REGIONAL,76,FS76,Wodonga,emInc,84,70,83.3,8.7,1,62,66
SOUTHERN D1,89,FS89,Springvale,nonInc,17,124,83.2,8.3,1,63,63
SOUTHERN D1,89,FS89,Springvale,emInc,149,124,83.2,8.3,1,63,63
